datetime,filename,exported,new,updated,skipped,exif_updated,touched,converted_to_jpeg,sidecar_xmp,sidecar_json,sidecar_exiftool,missing,error,exiftool_warning,exiftool_error,extended_attributes_written,extended_attributes_skipped,cleanup_deleted_file,cleanup_deleted_directory,exported_album,sidecar_user,sidecar_user_error,user_written,user_skipped,user_error
2024-06-23T11:37:28.194171,/Users/sglavoie/Pictures/export/2023/12/2023-12-24-223848_IMG_1436.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.196528,/Users/sglavoie/Pictures/export/2024/03/Yuna/2024-03-21-174247_IMG_1916.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.198524,/Users/sglavoie/Pictures/export/2024/05/Yuna/2024-05-21-083706_IMG_2538.HEIC,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.201083,/Users/sglavoie/Pictures/export/2024/03/Yuna/2024-03-31-124752_IMG_2054.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.204227,/Users/sglavoie/Pictures/export/2022/03/Marriage/2022-03-28-145804_IMG_0253.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.206889,/Users/sglavoie/Pictures/export/2024/03/Yuna/2024-03-27-173320_IMG_2025.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.209340,/Users/sglavoie/Pictures/export/2023/09/2023-09-12-154206_IMG_1132.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.211357,/Users/sglavoie/Pictures/export/2024/04/Yuna/2024-04-15-104707_IMG_2150.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.213420,/Users/sglavoie/Pictures/export/2023/12/Pregnancy_Yuna/2023-12-18-181011_PHOTO-2023-12-18-13-56-39.jpg,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.215162,/Users/sglavoie/Pictures/export/2024/02/Pregnancy_Yuna/2024-02-04-110415_IMG_1718.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.218002,/Users/sglavoie/Pictures/export/2024/04/Yuna/2024-04-17-154559_IMG_2174.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.220936,/Users/sglavoie/Pictures/export/2024/05/Yuna/2024-05-21-083705_IMG_2535.HEIC,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.223338,/Users/sglavoie/Pictures/export/2024/04/Yuna/2024-04-21-123412_IMG_2226.HEIC,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.225494,/Users/sglavoie/Pictures/export/2023/12/Pregnancy_Yuna/2023-12-31-230342_IMG_1482.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.227748,/Users/sglavoie/Pictures/export/2023/04/2023-04-09-101652_IMG_0899.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
